"study","profile","codec","rows","parquet_bytes","estimated_logical_bytes","workload","engine","median_seconds","min_seconds","max_seconds","relative_to_fastest","gpu_utilization_mean_percent","process_cpu_cores_mean","process_rss_peak_bytes","trials","correct"
"crossover","wide","zstd","20000000","1966560421","3459999792","feature_width_6","polars-gpu","0.130426482","0.130027619","0.133574997","1.0","25.17857142857143","3.031039218132673","3444695040","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","join_groupby","cudf","0.079729239","0.07878143","0.080001091","1.2143637127295834","48.0","1.2747955904065045","3426783232","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","join_groupby","duckdb","0.104612635","0.1034556","0.106069817","1.593365112101782","10.666666666666666","6.208329933439572","2577903616","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","join_groupby","polars-cpu","0.120443692","0.118238677","0.122820397","1.834489464924887","25.71428571428571","7.310815940706994","2741760000","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","join_groupby","polars-gpu","0.065655156","0.062134804","0.069144257","1.0","45.13333333333333","1.2423820166888453","2427711488","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","scan_groupby","cudf","0.066722521","0.066688541","0.066916668","1.1322854691991977","18.400000000000002","1.307951807153204","2429796352","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","scan_groupby","duckdb","0.062758637","0.062708871","0.064114352","1.065018102985754","42.333333333333336","4.988156641167795","2753601536","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","scan_groupby","polars-cpu","0.082566223","0.081506802","0.086288045","1.4011541103124772","64.33333333333333","7.0546058690522875","3141230592","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","scan_groupby","polars-gpu","0.058927296","0.058445194","0.06108806","1.0","4.333333333333333","1.7775179183966445","3326283776","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","sort_topk","cudf","0.107725899","0.107702191","0.108963742","1.7924763941689337","33.0","1.1489946731718506","3437588480","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","sort_topk","duckdb","0.060098922","0.059837754","0.060858665","1.0","13.0","6.470434254547094","2120200192","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","sort_topk","polars-cpu","0.06374554","0.062025976","0.064461921","1.0606769286144602","46.46666666666667","6.890015343146662","1790996480","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","sort_topk","polars-gpu","0.099157167","0.096022561","0.101220748","1.649899261088244","51.888888888888886","1.1760899179356779","3392794624","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","string_features","cudf","0.062059055","0.06198032","0.063413742","1.4571978935162841","17.333333333333332","1.1938592664151042","2721980416","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","string_features","duckdb","0.042587939","0.041461346","0.042914691","1.0","0.0","5.4845683123744635","3453124608","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","string_features","polars-cpu","0.087503508","0.085555034","0.09515252","2.054654675822655","17.333333333333332","6.853128851566043","2831720448","3","True"
"crossover","wide","zstd","20000000","1966560421","3459999792","string_features","polars-gpu","0.051991689","0.050776829","0.054480666","1.2208078207306534","22.0","2.1001080773695033","3450093568","3","True"
"crossover","wide","zstd","50000000","4916004014","8649999480","feature_width_12","cudf","0.750020862","0.746615699","0.757164112","1.807085796880937","59.547233468286095","2.080125183583927","3131957248","3","True"
