rows,features,input_bytes,implementation,layout,block_size,replications,resident_wall_seconds,resident_wall_seconds_min,resident_wall_seconds_max,resident_device_seconds,one_shot_seconds,one_shot_seconds_min,one_shot_seconds_max,cold_compile_seconds,aos_to_soa_conversion_seconds,max_abs_score_error,flag_mismatches,registers_per_thread,static_shared_memory_bytes,active_blocks_per_multiprocessor,theoretical_occupancy,resident_speedup_vs_numpy,one_shot_speedup_vs_numpy
262144,256,268435456,raw_strided_b256,strided,256,3,0.0012114779965486377,0.0012094959965907037,0.001212421979289502,0.001204319953918457,,,,0.05862259698915295,0.0029674429970327765,5.340576171875e-05,0,39,0,6,1.0,147.2802692361015,
262144,256,268435456,raw_strided_b32,strided,32,3,0.0011878390214405954,0.0011848989815916866,0.0011889880115631968,0.0011813759803771973,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,24,0.5,150.21126792829432,
262144,256,268435456,raw_strided_b512,strided,512,3,0.0012410259805619717,0.0012402200081851333,0.001243178005097434,0.0012345600128173828,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,3,1.0,143.77362625760622,
262144,256,268435456,raw_strided_b64,strided,64,3,0.0011931290209759027,0.0011923169950023293,0.001193181989947334,0.0011865919828414916,,,,0.05746039902442135,0.002962018013931811,5.340576171875e-05,0,39,0,24,1.0,149.5452732843214,
262144,4,4194304,cupy_composed,aos,,3,0.000910819013370201,0.0009090439998544753,0.0009134580031968653,0.0009057279825210571,0.001480195001931861,0.0014748370158486068,0.0014865470002405345,,2.028199378401041e-05,9.5367431640625e-07,0,,,,,5.554740212994819,3.4180381596509557
262144,4,4194304,cupy_partial_fusion,aos,,3,0.0008917200029827654,0.0008903050038497895,0.0008920490217860788,0.0008866559863090515,0.0014585019962396473,0.0014480259851552546,0.0014617019915021956,0.04406458302401006,2.028199378401041e-05,9.5367431640625e-07,0,,,,,5.673712581757017,3.468876294562448
262144,4,4194304,numpy,aos,,3,0.005059363000327721,0.004877595987636596,0.0050825540092773736,,0.005059363000327721,0.004877595987636596,0.0050825540092773736,,2.028199378401041e-05,0.0,0,,,,,1.0,1.0
262144,4,4194304,raw_aos_b256,aos,256,3,1.750400406308472e-05,1.745100598782301e-05,1.757199061103165e-05,1.2703999876976014e-05,0.0005748789990320802,0.000569191004615277,0.0005799770005978644,0.0577539209916722,2.028199378401041e-05,1.9073486328125e-06,0,39,0,6,1.0,289.0403236935785,8.800744171984254
262144,4,4194304,raw_soa_b256,soa,256,3,1.942997914738953e-05,1.854199217632413e-05,2.0265986677259207e-05,1.456000003963709e-05,0.0005907170125283301,0.0005878430092707276,0.0005975780077278614,0.0577539209916722,2.028199378401041e-05,1.9073486328125e-06,0,39,0,6,1.0,260.3895229093676,8.564782955332745
262144,4,4194304,raw_strided_b256,strided,256,3,2.4523003958165646e-05,2.3316009901463985e-05,2.5461980840191245e-05,1.9263999536633493e-05,,,,0.0577539209916722,2.028199378401041e-05,1.9073486328125e-06,0,39,0,6,1.0,206.3108993073852,
262144,512,536870912,cupy_composed,aos,,3,0.012996654986636713,0.012983608990907669,0.013000682985875756,0.0129900484085083,0.05477619799785316,0.054656811989843845,0.05485220198170282,,0.0060628720093518496,2.288818359375e-05,0,,,,,25.30617442274182,6.004352803327392
262144,512,536870912,cupy_partial_fusion,aos,,3,0.004529922007350251,0.004527768003754318,0.004546632000710815,0.004523231983184815,0.04598444499424659,0.045967479003593326,0.04616538900882006,0.043422238988569006,0.0060628720093518496,2.288818359375e-05,0,,,,,72.60513922101967,7.152323313789612
262144,512,536870912,numpy,aos,,3,0.3288956180040259,0.3283764279913157,0.3292252570099663,,0.3288956180040259,0.3283764279913157,0.3292252570099663,,0.0060628720093518496,0.0,0,,,,,1.0,1.0
262144,512,536870912,raw_aos_b256,aos,256,3,0.002435217989841476,0.002434379974147305,0.0024388000019825995,0.0024286398887634277,0.04407709598308429,0.04394417299772613,0.04415869701188058,0.05688122898573056,0.0060628720093518496,0.0001373291015625,0,39,0,6,1.0,135.05797812598937,7.461825936315042
262144,512,536870912,raw_soa_b256,soa,256,3,0.0013145970006007701,0.0013134400069247931,0.0013157129869796336,0.0013073920011520386,0.04308728297473863,0.04305911500705406,0.04312909199506976,0.05688122898573056,0.0060628720093518496,0.0001373291015625,0,39,0,6,1.0,250.18740941423172,7.633241070151767
262144,512,536870912,raw_strided_b256,strided,256,3,0.002444916986860335,0.0024387940065935254,0.0024490500218234956,0.002438143968582153,,,,0.05688122898573056,0.0060628720093518496,0.0001373291015625,0,39,0,6,1.0,134.52220250078125,
262144,64,67108864,cupy_composed,aos,,3,0.002591886994196102,0.002591422002296895,0.002593832992715761,0.002585983991622925,0.007832897012121975,0.007782290980685502,0.007990685990080237,,0.0005840680096298456,7.62939453125e-06,0,,,,,17.272316304069193,5.7153683903767245
262144,64,67108864,cupy_partial_fusion,aos,,3,0.0015519029984716326,0.0015507639909628779,0.0015540119784418494,0.0015456639528274535,0.006715358991641551,0.006704555999021977,0.006743909994838759,0.043863939004950225,0.0005840680096298456,7.62939453125e-06,0,,,,,28.847094201278807,6.666492743556936
262144,64,67108864,numpy,aos,,3,0.044767891988158226,0.04464283201377839,0.04481923900311813,,0.044767891988158226,0.04464283201377839,0.04481923900311813,,0.0005840680096298456,0.0,0,,,,,1.0,1.0
262144,64,67108864,raw_aos_b256,aos,256,3,0.0001911690051201731,0.00019011800759471953,0.00019201499526388943,0.00018467199802398683,0.00533023799653165,0.005303051992086694,0.00535871199099347,0.057879037980455905,0.0005840680096298456,2.288818359375e-05,0,39,0,6,1.0,234.17965668658542,8.39885423827011
262144,64,67108864,raw_soa_b256,soa,256,3,0.0001823269994929433,0.00018007101607508957,0.00018246498075313866,0.00017577600479125977,0.005480779975187033,0.005427249998319894,0.005529054993530735,0.057879037980455905,0.0005840680096298456,2.288818359375e-05,0,39,0,6,1.0,245.5362733586306,8.168160771064434
262144,64,67108864,raw_strided_b256,strided,256,3,0.00022014000569470227,0.0002191350213252008,0.00022986999829299748,0.0002155520021915436,,,,0.057879037980455905,0.0005840680096298456,2.288818359375e-05,0,39,0,6,1.0,203.36100131769723,
4096,16,262144,cupy_composed,aos,,3,5.7425000704824924e-05,5.718701868318021e-05,5.906799924559891e-05,5.2319999784231185e-05,0.00013883499195799232,0.000135600013891235,0.00014255597488954663,,1.5080993762239814e-05,1.9073486328125e-06,0,,,,,2.113661289701324,0.8742536686110448
4096,16,262144,cupy_partial_fusion,aos,,3,4.083200474269688e-05,4.0054001146927476e-05,4.115901538170874e-05,3.612799942493439e-05,0.00011234599514864385,0.0001109449949581176,0.00011497500236146152,0.04340847101411782,1.5080993762239814e-05,1.9073486328125e-06,0,,,,,2.972594703975903,1.0803856505099894
4096,16,262144,numpy,aos,,3,0.00012137700105085969,0.00012085097841918468,0.0001221899874508381,,0.00012137700105085969,0.00012085097841918468,0.0001221899874508381,,1.5080993762239814e-05,0.0,0,,,,,1.0,1.0
4096,16,262144,raw_aos_b256,aos,256,3,1.553600304760039e-05,1.5169003745540977e-05,1.571900793351233e-05,1.056000031530857e-05,7.689101039431989e-05,7.68020108807832e-05,7.706900942139328e-05,0.05801384799997322,1.5080993762239814e-05,2.86102294921875e-06,0,39,0,6,1.0,7.812627268350528,1.578559059484359
4096,16,262144,raw_soa_b256,soa,256,3,1.543600228615105e-05,1.3690005289390683e-05,1.560201053507626e-05,1.056000031530857e-05,7.50980107113719e-05,7.353199180215597e-05,7.967400597408414e-05,0.05801384799997322,1.5080993762239814e-05,2.86102294921875e-06,0,39,0,6,1.0,7.863240675971998,1.6162478859440665
4096,16,262144,raw_strided_b256,strided,256,3,1.5434983652085066e-05,1.5250989235937595e-05,1.7041980754584074e-05,1.0784000158309936e-05,,,,0.05801384799997322,1.5080993762239814e-05,2.86102294921875e-06,0,39,0,6,1.0,7.863759611722247,
4194304,16,268435456,cupy_composed,aos,,3,0.024845806998200715,0.024764838977716863,0.02488794398959726,0.024838560104370116,0.046598022017860785,0.0465133789984975,0.04668776399921626,,0.00591021598665975,5.7220458984375e-06,0,,,,,10.412036949552459,5.551640376657152
4194304,16,268435456,cupy_partial_fusion,aos,,3,0.020585021993611008,0.020583033998264,0.020731969008920714,0.020578559875488282,0.04231107799569145,0.0422499009873718,0.04236893801135011,0.04313135001575574,0.00591021598665975,5.7220458984375e-06,0,,,,,12.567169497657396,6.1141306901482855
4194304,16,268435456,numpy,aos,,6,0.2586954605067149,0.25395478698192164,0.2681461680040229,,0.2586954605067149,0.25395478698192164,0.2681461680040229,,0.0059140559897059575,0.0,0,,,,,1.0,1.0
4194304,16,268435456,raw_aos_b1024,aos,1024,3,0.0006860800203867257,0.0006852599908597767,0.0006872749945614487,0.0006796159744262695,,,,0.05683432301157154,0.005917895992752165,7.62939453125e-06,0,39,0,1,0.6666666666666666,377.0631017077205,
4194304,16,268435456,raw_aos_b128,aos,128,3,0.0006842190050520003,0.0006841949943918735,0.0006852690130472183,0.0006770880222320557,,,,0.05683432301157154,0.005917895992752165,7.62939453125e-06,0,39,0,12,1.0,378.0886800813932,
4194304,16,268435456,raw_aos_b256,aos,256,3,0.0006874179816804826,0.0006867580232210457,0.0006875849794596434,0.0006802240014076233,0.023138478980399668,0.023083829000825062,0.023710899986326694,0.05675554199842736,0.00591021598665975,7.62939453125e-06,0,39,0,6,1.0,376.32920202974645,11.180314001013322
4194304,16,268435456,raw_aos_b32,aos,32,3,0.0006846679898444563,0.0006837700202595443,0.000685278995661065,0.000678272008895874,0.02307553801801987,0.0230276359943673,0.023092832998372614,0.05683432301157154,0.005917895992752165,7.62939453125e-06,0,39,0,24,0.5,377.84074083189665,11.210809485988909
4194304,16,268435456,raw_aos_b512,aos,512,3,0.0006855980027467012,0.0006852519873064011,0.0006870590150356293,0.0006793599724769592,,,,0.05683432301157154,0.005917895992752165,7.62939453125e-06,0,39,0,3,1.0,377.3282003014989,
4194304,16,268435456,raw_aos_b64,aos,64,3,0.0006843119917903095,0.0006839550042059273,0.0006852920050732791,0.0006783679723739624,,,,0.05683432301157154,0.005917895992752165,7.62939453125e-06,0,39,0,24,1.0,378.03730405178356,
4194304,16,268435456,raw_soa_b1024,soa,1024,3,0.0006863019953016192,0.0006852369988337159,0.0006880959845148027,0.0006802560091018677,,,,0.05683432301157154,0.005917895992752165,7.62939453125e-06,0,39,0,1,0.6666666666666666,376.9411458479327,
4194304,16,268435456,raw_soa_b128,soa,128,3,0.0006852000078652054,0.000684315018588677,0.0006852160149719566,0.0006785280108451843,,,,0.05683432301157154,0.005917895992752165,7.62939453125e-06,0,39,0,12,1.0,377.5473694355331,
4194304,16,268435456,raw_soa_b256,soa,256,3,0.0006862370064482093,0.0006853949744254351,0.0006863109883852303,0.000679647982120514,0.023128105996875092,0.02309099500416778,0.023308928997721523,0.05675554199842736,0.00591021598665975,7.62939453125e-06,0,39,0,6,1.0,376.9768433877644,11.185328385370942
4194304,16,268435456,raw_soa_b32,soa,32,3,0.0006853420054540038,0.0006848750053904951,0.0006862110167276114,0.0006793919801712036,0.023111955990316346,0.023054785997373983,0.023122162994695827,0.05683432301157154,0.005917895992752165,7.62939453125e-06,0,39,0,24,0.5,377.46914452637765,11.193144388778926
